run,lang,n,ref,chrf,comet,p50,p95,max,ttft_p50,req_p50,req_p95,req_max,out_tok_per_s,load_ms,vram_mib,caps,failures
hymt18-q8.flores,de,500,flores,58.8,,254.6,425.7,604.5,19.9,275.2,450.7,652.0,177.0,661.0,2614,0,
hymt18-q8.flores,es,500,flores,53.9,,246.0,427.8,650.4,19.6,275.2,450.7,652.0,174.0,661.0,2614,0,
hymt18-q8.flores,fr,500,flores,63.7,,245.1,429.5,643.6,19.7,275.2,450.7,652.0,177.0,661.0,2614,0,
hymt18-q8.flores,pt,500,flores,65.1,,241.7,415.4,585.9,20.0,275.2,450.7,652.0,174.0,661.0,2614,0,
hymt7-q4.clauses+asr,de,300,pseudo(gemma4-26b),67.6,,494.7,825.6,1017.2,69.4,550.5,871.1,1038.7,35.0,855.0,5480,0,
hymt7-q4.clauses+asr,es,300,pseudo(gemma4-26b),74.3,,479.9,784.7,1016.8,69.1,550.5,871.1,1038.7,34.0,855.0,5480,0,
hymt7-q4.clauses+asr,fr,300,pseudo(gemma4-26b),68.3,,497.2,787.3,1038.1,69.2,550.5,871.1,1038.7,35.0,855.0,5480,0,
hymt7-q4.clauses+asr,pt,300,pseudo(gemma4-26b),72.4,,494.5,790.3,1005.2,69.6,550.5,871.1,1038.7,34.0,855.0,5480,0,
hymt7-q4.clauses,de,300,pseudo(gemma4-26b),67.6,,248.2,397.5,495.5,43.7,270.3,418.2,499.3,71.0,639.0,5480,0,
hymt7-q4.clauses,es,300,pseudo(gemma4-26b),74.3,,241.4,375.6,495.4,43.4,270.3,418.2,499.3,69.0,639.0,5480,0,
hymt7-q4.clauses,fr,300,pseudo(gemma4-26b),68.3,,250.6,376.3,498.7,43.5,270.3,418.2,499.3,71.0,639.0,5480,0,
